,Coin,Timestamp,Datetime,Last/Open,High/Low,Vol-USDT-24h,Open-24h,High-24h,Low-24h,Close-Last,Vol-Ccy-24h,Vol-Num-24h
442,XPR-USDT,1679371320008,2023-03-21 12:02:00.008,-0.6536000000,29.7297000000,60282.8966689924,0.0015300000,0.0019200000,0.0014800000,0.0015200000,60282.8966689924,37569907.8446590006
443,LON-USDT,1679371340912,2023-03-21 12:02:20.912,0.1610000000,1.2945000000,59280.6188138400,0.6210000000,0.6260000000,0.6180000000,0.6220000000,59280.6188138400,95309.1955340000
444,VSYS-USDT,1679371347708,2023-03-21 12:02:27.708,-4.7752000000,11.4000000000,59268.0391374271,0.0021570000,0.0022280000,0.0020000000,0.0020540000,59268.0391374271,28445330.6648229994
445,CITY-USDT,1679371348009,2023-03-21 12:02:28.009,-0.4435000000,2.2729000000,58943.1841740100,4.4871000000,4.5491000000,4.4480000000,4.4672000000,58943.1841740100,13143.3145000000
446,XTZ-BTC,1679371347409,2023-03-21 12:02:27.409,-6.9908000000,9.1395000000,58610.2923914981,0.0000446300,0.0000449000,0.0000411400,0.0000415100,2.0991633841,48684.9047000000
447,EM-USDT,1679371325008,2023-03-21 12:02:05.008,0.6345000000,8.1442000000,58544.4803669735,0.0007880000,0.0008100000,0.0007490000,0.0007930000,58544.4803669735,74117435.8691519946
448,GRT-BTC,1679371347405,2023-03-21 12:02:27.405,0.0000000000,7.4004000000,58096.9691775749,0.0000054200,0.0000056600,0.0000052700,0.0000054200,2.0807784000,381680.0000000000
449,QTUM-BTC,1679371347609,2023-03-21 12:02:27.609,-5.1530000000,7.2836000000,57470.1522988239,0.0001242000,0.0001252000,0.0001167000,0.0001178000,2.0583285710,17188.1684900000
450,INX-USDT,1679371320012,2023-03-21 12:02:00.012,-4.6610000000,10.6576000000,56790.2406240405,0.0004720000,0.0004880000,0.0004410000,0.0004500000,56790.2406240405,121294041.4022119939
451,T-USDT,1679371320009,2023-03-21 12:02:00.009,-0.4902000000,4.1872000000,56615.4772741300,0.0408000000,0.0423000000,0.0406000000,0.0406000000,56615.4772741300,1361642.0898000000
452,ELT-USDT,1679371337087,2023-03-21 12:02:17.087,-1.5474000000,11.5424000000,56327.8773981560,0.0010340000,0.0010920000,0.0009790000,0.0010180000,56327.8773981560,54940014.1313000023
453,VRA-USDC,1679371347411,2023-03-21 12:02:27.411,-4.6110000000,9.4082000000,56289.8042900305,0.0069400000,0.0072100000,0.0065900000,0.0066200000,56486.5850690000,8126745.2199999997
454,DNA-USDT,1679371347009,2023-03-21 12:02:27.009,-3.3937000000,14.1628000000,55746.5527935083,0.0001326000,0.0001459000,0.0001278000,0.0001281000,55746.5527935083,414573496.3557000160
455,CRV-BTC,1679371347108,2023-03-21 12:02:27.108,-3.0641000000,4.3478000000,55603.3808994094,0.0000359000,0.0000360000,0.0000345000,0.0000348000,1.9914690143,56563.7672000000
456,GOAL-USDC,1679371320012,2023-03-21 12:02:00.012,-5.9959000000,13.2755000000,54594.6118458435,0.2435000000,0.2483000000,0.2192000000,0.2289000000,54785.4664843000,235912.5150000000
457,THETA-USDC,1679371348305,2023-03-21 12:02:28.305,-2.0231000000,6.8520000000,53609.9566377186,1.0380000000,1.0760000000,1.0070000000,1.0170000000,53797.3690681000,51634.2007000000
458,GAS-USDT,1679371348506,2023-03-21 12:02:28.506,-4.4859000000,6.8517000000,53525.8201429110,3.5890000000,3.6180000000,3.3860000000,3.4280000000,53525.8201429110,15357.8705730000
459,ORS-USDT,1679371320014,2023-03-21 12:02:00.014,2.8571000000,21.3043000000,53052.5742300000,0.0024500000,0.0027900000,0.0023000000,0.0025200000,53052.5742300000,20859279.0000000000
460,KNC-USDC,1679371347307,2023-03-21 12:02:27.307,-1.1184000000,5.8348000000,53001.3600951425,0.7332000000,0.7600000000,0.7181000000,0.7250000000,53186.6449625800,71967.4178000000
461,BLOK-USDT,1679371348508,2023-03-21 12:02:28.508,-2.8164000000,4.7474000000,52951.8162866050,0.0027340000,0.0027580000,0.0026330000,0.0026570000,52951.8162866050,19711479.0819999985
462,LSK-USDT,1679371320011,2023-03-21 12:02:00.011,-0.9158000000,5.0973000000,52367.8650277115,1.0920000000,1.1340000000,1.0790000000,1.0820000000,52367.8650277115,47365.7867041300
463,ZYRO-USDT,1679371320006,2023-03-21 12:02:00.006,-2.5316000000,8.2353000000,51519.8261032690,0.0071100000,0.0073600000,0.0068000000,0.0069300000,51519.8261032690,7314609.3117779996
464,ELF-BTC,1679371348309,2023-03-21 12:02:28.309,-3.4050000000,4.2991000000,51063.7802421026,0.0000111600,0.0000111600,0.0000107000,0.0000107800,1.8288804468,167953.6020000000
465,GAS-BTC,1679371348506,2023-03-21 12:02:28.506,-6.1550000000,8.6420000000,50189.0324821975,0.0001316000,0.0001320000,0.0001215000,0.0001235000,1.7975508221,14339.0943800000
466,TRUE-USDT,1679371347805,2023-03-21 12:02:27.805,-3.2432000000,5.5059000000,50102.4341930216,0.0222000000,0.0224200000,0.0212500000,0.0214800000,50102.4341930216,2294227.0929060001
467,BABYDOGE-USDC,1679371340708,2023-03-21 12:02:20.708,0.6289000000,4.2234000000,50006.6192100093,0.0000000022,0.0000000023,0.0000000022,0.0000000022,50181.4349089780,22366024359564.0000000000
468,DIA-USDT,1679371322006,2023-03-21 12:02:02.006,-3.7333000000,6.1111000000,49713.9946035230,0.3750000000,0.3820000000,0.3600000000,0.3610000000,49713.9946035230,134481.3306430000
469,IOST-USDC,1679371347407,2023-03-21 12:02:27.407,-3.0825000000,6.7044000000,49142.0590295616,0.0110300000,0.0113000000,0.0105900000,0.0106900000,49313.8523548000,4489476.7500000000
470,AAVE-ETH,1679371347207,2023-03-21 12:02:27.207,-1.3605000000,26.5589000000,49026.6645536448,0.0441000000,0.0548000000,0.0433000000,0.0435000000,27.8432705200,613.4082000000
471,SUSHI-ETH,1679371347708,2023-03-21 12:02:27.708,-2.4781000000,5.3272000000,48274.6164837119,0.0006860000,0.0006920000,0.0006570000,0.0006690000,27.4161666563,40565.5070000000
472,EFI-USDT,1679371343608,2023-03-21 12:02:23.608,-6.2500000000,8.8197000000,48202.2405192895,0.0832000000,0.0839000000,0.0771000000,0.0780000000,48202.2405192895,595445.2116970000
473,GM-USDT,1679371348405,2023-03-21 12:02:28.405,-3.9326000000,7.3000000000,48025.0170729000,0.0000106800,0.0000107300,0.0000100000,0.0000102600,48025.0170729000,4638667969.0000000000
474,BZZ-USDT,1679371346711,2023-03-21 12:02:26.711,-1.2247000000,2.2117000000,47733.8192509973,0.5389000000,0.5407000000,0.5290000000,0.5323000000,47733.8192509973,89295.0834550000
475,TUP-USDT,1679371337609,2023-03-21 12:02:17.609,5.1193000000,9.3370000000,47602.8417751471,0.0289100000,0.0315000000,0.0288100000,0.0303900000,47602.8417751471,1576505.1916230000
476,RADAR-USDC,1679371330410,2023-03-21 12:02:10.410,-2.1164000000,6.1706000000,46914.6916085474,0.0113400000,0.0117000000,0.0110200000,0.0111000000,47078.6983887500,4165019.9920000001
477,CELO-USDC,1679371328707,2023-03-21 12:02:08.707,-1.8663000000,8.3067000000,45134.2048796366,0.6430000000,0.6780000000,0.6260000000,0.6310000000,45291.9873432000,69656.1233000000
478,MITH-USDT,1679371344011,2023-03-21 12:02:24.011,-5.2960000000,9.2715000000,42758.2700668615,0.0032100000,0.0033000000,0.0030200000,0.0030400000,42758.2700668615,13554089.5591490008
479,OM-ETH,1679371332110,2023-03-21 12:02:12.110,-1.0256000000,64.2857000000,42476.3400179018,0.0000195000,0.0000299000,0.0000182000,0.0000193000,24.1232039052,1171818.1152999999
480,BORING-USDT,1679371337406,2023-03-21 12:02:17.406,0.3040000000,13.7931000000,42422.9717284844,0.0032900000,0.0036300000,0.0031900000,0.0033000000,42422.9717284844,12465725.1617060006
481,GOG-USDT,1679371345615,2023-03-21 12:02:25.615,-7.7225000000,12.2628000000,41828.4996732718,0.0764000000,0.0769000000,0.0685000000,0.0705000000,41828.4996732718,578272.3341090000
482,YOU-USDT,1679371340007,2023-03-21 12:02:20.007,-0.6765000000,10.9017000000,41573.2578368682,0.0016260000,0.0016480000,0.0014860000,0.0016150000,41573.2578368682,26828556.6907589994
483,ZIL-BTC,1679371347407,2023-03-21 12:02:27.407,-4.7070000000,6.6124000000,41155.1013424155,0.0000010410,0.0000010480,0.0000009830,0.0000009920,1.4739950661,1451370.1780000001
484,WXT-BTC,1679371336207,2023-03-21 12:02:16.207,-2.8777000000,9.0909000000,41066.1230425887,0.0000001390,0.0000001440,0.0000001320,0.0000001350,1.4708082540,10582927.0000000000
485,RVN-BTC,1679371347311,2023-03-21 12:02:27.311,-4.5593000000,7.5269000000,41015.2992819026,0.0000009870,0.0000010000,0.0000009300,0.0000009420,1.4689879700,1524126.0000000000
486,GALFT-USDT,1679371347110,2023-03-21 12:02:27.110,-3.5968000000,5.1821000000,40888.6553421000,4.0870000000,4.1000000000,3.8980000000,3.9400000000,40888.6553421000,10226.4318000000
487,XAUT-USDT,1679371340306,2023-03-21 12:02:20.306,0.0305000000,1.9589000000,40539.6000677000,1967.2000000000,2003.9000000000,1965.4000000000,1967.8000000000,40539.6000677000,20.4795940000
488,CFG-USDT,1679371347807,2023-03-21 12:02:27.807,-6.2948000000,9.5350000000,40262.1732516531,0.3209000000,0.3274000000,0.2989000000,0.3007000000,40262.1732516531,128597.1322970000
489,FLM-USDC,1679371347608,2023-03-21 12:02:27.608,-2.1672000000,10.1064000000,39894.8302972932,0.0969000000,0.1035000000,0.0940000000,0.0948000000,40034.2966870200,407269.9380000000
490,ACA-USDT,1679371348510,2023-03-21 12:02:28.510,-4.8077000000,7.1429000000,39476.2882011910,0.1040000000,0.1050000000,0.0980000000,0.0990000000,39476.2882011910,389441.8116360000
491,BICO-USDC,1679371320010,2023-03-21 12:02:00.010,-1.9465000000,5.5276000000,39243.9436463426,0.4110000000,0.4200000000,0.3980000000,0.4030000000,39381.1346332000,96348.1620000000
492,OM-USDT,1679371336509,2023-03-21 12:02:16.509,-4.1056000000,8.8685000000,38658.0349269802,0.0341000000,0.0356000000,0.0327000000,0.0327000000,38658.0349269802,1131975.1094730000
493,XEC-USDT,1679371320010,2023-03-21 12:02:00.010,-0.5751000000,5.1463000000,38571.0295405820,0.0000313000,0.0000326900,0.0000310900,0.0000311200,38571.0295405820,1215458787.9000000954
494,NEO-ETH,1679371347705,2023-03-21 12:02:27.705,-2.6171000000,4.6942000000,38374.7205835021,0.0072600000,0.0073600000,0.0070300000,0.0070700000,21.7938082483,3035.4790700000
495,TAMA-USDC,1679371346007,2023-03-21 12:02:26.007,-2.8278000000,4.3493000000,38339.2017002460,0.0124480000,0.0124760000,0.0119560000,0.0120960000,38473.2298439000,3144971.9100000001
496,COMP-BTC,1679371325606,2023-03-21 12:02:05.606,-3.0469000000,5.5734000000,38223.8595540481,0.0016410000,0.0016480000,0.0015610000,0.0015910000,1.3690108529,853.3787000000
497,WGRT-USDT,1679371320008,2023-03-21 12:02:00.008,4.8780000000,13.4969000000,36984.3600173339,0.0016400000,0.0018500000,0.0016300000,0.0017200000,36984.3600173339,20861039.5019459985
498,VALUE-USDT,1679371340209,2023-03-21 12:02:20.209,-3.3351000000,8.3799000000,36342.2703304153,0.1889000000,0.1940000000,0.1790000000,0.1826000000,36342.2703304153,196583.6416260000
499,ANT-USDC,1679371335907,2023-03-21 12:02:15.907,-1.5139000000,6.1798000000,35777.6054932788,2.3780000000,2.4570000000,2.3140000000,2.3420000000,35902.6786778000,15036.0934000000
500,EC-USDT,1679371339007,2023-03-21 12:02:19.007,1.4981000000,12.3506000000,35730.9742875509,0.0002670000,0.0002820000,0.0002510000,0.0002710000,35730.9742875509,131991197.6483200043
501,CMT-USDT,1679371329610,2023-03-21 12:02:09.610,-5.7692000000,8.9796000000,35370.6972413329,0.0026000000,0.0026700000,0.0024500000,0.0024500000,35370.6972413329,13843253.7676940002
502,XETA-USDT,1679371348305,2023-03-21 12:02:28.305,-2.3315000000,4.1304000000,35037.3220317200,0.0471800000,0.0479000000,0.0460000000,0.0460800000,35037.3220317200,747393.3458000000
