,Coin,Timestamp,Datetime,Last/Open,High/Low,Vol-USDT-24h,Open-24h,High-24h,Low-24h,Close-Last,Vol-Ccy-24h,Vol-Num-24h
0,1INCH-USDC,1679327161212,2023-03-20 23:46:01.212,-3.0730000000,6.4859000000,234466.7803960105,0.5532000000,0.5615000000,0.5273000000,0.5362000000,235218.7150433000,430858.8708000000
1,1INCH-USDT,1679327166012,2023-03-20 23:46:06.012,-2.9935000000,6.5867000000,2226134.2835567980,0.5512000000,0.5599000000,0.5253000000,0.5347000000,2226134.2835567980,4093495.5408310001
2,AAVE-BTC,1679327166209,2023-03-20 23:46:06.209,-3.2447000000,5.0469000000,132378.0062302090,0.0028970000,0.0029140000,0.0027740000,0.0028030000,4.7386719243,1668.6966000000
3,AAVE-ETH,1679327160013,2023-03-20 23:46:00.013,-0.8989000000,3.2037000000,28500.4443509737,0.0445000000,0.0451000000,0.0437000000,0.0441000000,15.9811736600,360.6094000000
4,AAVE-USDC,1679327166207,2023-03-20 23:46:06.207,-1.7621000000,6.4378000000,258717.9222645712,80.0200000000,81.8400000000,76.8900000000,78.6100000000,259547.6302910000,3264.4939000000
5,AAVE-USDT,1679327166011,2023-03-20 23:46:06.011,-1.7924000000,6.5405000000,3120123.5834331000,79.7800000000,81.6100000000,76.6000000000,78.3500000000,3120123.5834331000,39432.9779170000
6,ABT-USDT,1679327166007,2023-03-20 23:46:06.007,1.8587000000,9.0158000000,29590.9854080132,0.1345000000,0.1451000000,0.1331000000,0.1370000000,29590.9854080132,215364.8575550000
7,ACA-USDT,1679327166209,2023-03-20 23:46:06.209,-3.8095000000,9.0000000000,34879.0634081960,0.1050000000,0.1090000000,0.1000000000,0.1010000000,34879.0634081960,333702.2279950000
8,ADA-BTC,1679327166205,2023-03-20 23:46:06.205,-2.7866000000,3.7954000000,411796.4705065721,0.0000125600,0.0000125800,0.0000121200,0.0000122100,14.7408805200,1195592.0000000000
9,ADA-ETH,1679327166206,2023-03-20 23:46:06.206,-0.5181000000,2.1053000000,29867.0336364562,0.0001930000,0.0001940000,0.0001900000,0.0001920000,16.7474670000,86975.0000000000
10,ADA-USDC,1679327164413,2023-03-20 23:46:04.413,-1.3782000000,4.8403000000,27906.9307012179,0.3468400000,0.3528400000,0.3365500000,0.3420600000,27996.4281901940,81556.8592000000
11,ADA-USDT,1679327166209,2023-03-20 23:46:06.209,-1.3569000000,5.4177000000,14253934.3761043157,0.3456400000,0.3525800000,0.3344600000,0.3409500000,14253934.3761043157,41552096.9289999977
12,AERGO-USDT,1679327162112,2023-03-20 23:46:02.112,-0.5368000000,6.7247000000,7538.6454650424,0.1304000000,0.1349000000,0.1264000000,0.1297000000,7538.6454650424,57109.2611610000
13,AGLD-USDC,1679327161209,2023-03-20 23:46:01.209,-4.1264000000,7.5012000000,83637.0116054859,0.4556000000,0.4672000000,0.4346000000,0.4368000000,83905.2353884700,186255.9653000000
14,AGLD-USDT,1679327161811,2023-03-20 23:46:01.811,-3.8784000000,9.0508000000,889966.8074210517,0.4538000000,0.4699000000,0.4309000000,0.4362000000,889966.8074210517,1983071.3949070000
15,AKITA-USDT,1679327166110,2023-03-20 23:46:06.110,-0.8711000000,12.0444000000,261723.5079126695,0.0000002296,0.0000002521,0.0000002250,0.0000002276,261723.5079126695,1104319862731.0000000000
16,ALCX-USDT,1679327160013,2023-03-20 23:46:00.013,-3.9301000000,7.3733000000,20912.1221167000,22.9000000000,23.3000000000,21.7000000000,22.0000000000,20912.1221167000,945.2560210000
17,ALGO-BTC,1679327166009,2023-03-20 23:46:06.009,-3.7037000000,6.5789000000,15279.7625891309,0.0000081000,0.0000081000,0.0000076000,0.0000078000,0.5469623244,69410.4165000000
18,ALGO-USDC,1679327166011,2023-03-20 23:46:06.011,-2.3917000000,5.4801000000,1197572.1168058557,0.2216000000,0.2252000000,0.2135000000,0.2163000000,1201412.7289630801,5457267.3143999996
19,ALGO-USDT,1679327166111,2023-03-20 23:46:06.111,-2.2645000000,5.5477000000,4472850.0827905769,0.2208000000,0.2245000000,0.2127000000,0.2158000000,4472850.0827905769,20382327.7349230014
20,ALPHA-BTC,1679327165813,2023-03-20 23:46:05.813,-3.3097000000,5.4054000000,645.2861930009,0.0000042300,0.0000042900,0.0000040700,0.0000040900,0.0230990000,5505.0000000000
21,ALPHA-USDT,1679327165207,2023-03-20 23:46:05.207,-2.0601000000,6.8566000000,92170.2290889361,0.1165000000,0.1200000000,0.1123000000,0.1141000000,92170.2290889361,787132.3764600001
22,ANC-USDC,1679327165839,2023-03-20 23:46:05.839,-2.5751000000,5.4054000000,12815.7135230625,0.0233000000,0.0234000000,0.0222000000,0.0227000000,12856.8134989800,564438.3739000000
23,ANC-USDT,1679327164010,2023-03-20 23:46:04.010,-2.5862000000,5.8824000000,341909.6638528658,0.0232000000,0.0234000000,0.0221000000,0.0226000000,341909.6638528658,15092404.6528919991
24,ANT-BTC,1679327162810,2023-03-20 23:46:02.810,-3.0235000000,6.4935000000,7476.6353652486,0.0000893000,0.0000902000,0.0000847000,0.0000866000,0.2676375261,3057.1500000000
