Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2022-03-17,1647446400000,1.000000,28.000000,1.000000,7.409900,8471881.625580,75903606.534194,75903606.534194,1,APE-USDT
2022-03-18,1647532800000,7.400000,18.100000,7.200000,13.010400,15098291.842271,186563580.371177,186563580.371177,1,APE-USDT
2022-03-19,1647619200000,13.033300,14.940600,12.638100,14.141400,6062687.979768,82981861.035172,82981861.035172,1,APE-USDT
2022-03-20,1647705600000,14.149900,14.500000,10.634900,11.047600,4671271.871802,55902162.473558,55902162.473558,1,APE-USDT
2022-03-21,1647792000000,11.043300,11.050300,9.510000,10.202800,3632922.390631,37383172.329256,37383172.329256,1,APE-USDT
2022-03-22,1647878400000,10.203500,11.630000,9.711700,10.917400,2654903.525806,28497722.393509,28497722.393509,1,APE-USDT
2022-03-23,1647964800000,10.926600,13.400000,10.926600,13.262100,2817697.088988,34218065.633411,34218065.633411,1,APE-USDT
2022-03-24,1648051200000,13.264100,14.454400,12.632500,13.665600,2664705.529094,36123893.537208,36123893.537208,1,APE-USDT
2022-03-25,1648137600000,13.674400,13.775800,12.660000,12.976900,1742553.817833,22983804.183839,22983804.183839,1,APE-USDT
2022-03-26,1648224000000,12.974800,13.750000,12.225900,13.535500,1498545.766534,19366985.229102,19366985.229102,1,APE-USDT
2022-03-27,1648310400000,13.537100,14.350000,13.289900,13.937100,1737468.345600,24082239.239572,24082239.239572,1,APE-USDT
2022-03-28,1648396800000,13.939500,15.567800,13.661300,14.787900,2093866.306823,31092281.316884,31092281.316884,1,APE-USDT
2022-03-29,1648483200000,14.787900,15.224000,13.655600,13.849100,1543143.448212,22149357.703609,22149357.703609,1,APE-USDT
2022-03-30,1648569600000,13.854200,14.567400,13.010000,13.951900,1784148.015428,24745482.354778,24745482.354778,1,APE-USDT
2022-03-31,1648656000000,13.951900,14.386500,12.506000,13.100500,1403406.586771,19238921.392233,19238921.392233,1,APE-USDT
2022-04-01,1648742400000,13.103600,13.600100,12.238000,13.332800,1360673.548570,17485126.656647,17485126.656647,1,APE-USDT
2022-04-02,1648828800000,13.333200,13.813300,12.605000,12.794100,1163863.006359,15334234.267690,15334234.267690,1,APE-USDT
